model,target,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,cv_medae_mean,cv_q90ae_mean,cv_q95ae_mean
KernelRidge,HOMO,0.12087000817819395,0.023078894401312985,0.19554248784108422,0.07056968060589239,0.7213857139859866,0.16982269563861016,0.07729988944689771,0.25014618211395445,0.3464488776848105
RandomForest,HOMO,0.12363492879382948,0.01550240496124105,0.19851998065073892,0.06212091247195997,0.7048494884732182,0.1665246456505903,0.08242425525007804,0.25973960258783585,0.3455902809235744
XGBoost,HOMO,0.12743707485694597,0.016746044528773048,0.2066649170428568,0.06551128435904476,0.678662766883974,0.1861259020627478,0.07960654446105944,0.27846847233347594,0.3574168868855287
Ridge,HOMO,0.1367099527643593,0.019358847897189266,0.2076970427900428,0.061092781427976965,0.6870021872946773,0.15340870927360534,0.08868002231312486,0.29692426916712467,0.3826000501158656
LinearRegression,HOMO,0.13870788991927735,0.02373051427617315,0.21264842529055453,0.06218453448079693,0.676319819360985,0.15056422950860776,0.09410890977339635,0.296218199569331,0.40408970597269217
ElasticNet,HOMO,0.1389751854160276,0.020467169160146327,0.21253551612840804,0.05953164139383539,0.6749701264524095,0.14687710458789538,0.0894952011606762,0.3041699746203323,0.4054381792872618
RandomForest,LUMO,0.13963497534373637,0.038430571792729275,0.27116526858337786,0.14843061265105964,0.8285503267379136,0.1479508177749959,0.0724105804405526,0.2872824119987009,0.37268301272723964
XGBoost,LUMO,0.13980798437841335,0.040152123899649644,0.2730552460281457,0.15155294805755867,0.8268278934435039,0.1496640608437752,0.07553376864420579,0.2720700347371418,0.3554436048649088
Ridge,LUMO,0.15549415087537943,0.03549862958243138,0.28254960254368555,0.14144777266882064,0.8200006230856275,0.14248959473222397,0.09397588460469163,0.3072917443947874,0.393173561013394
ElasticNet,LUMO,0.15710880643327405,0.036758735205009774,0.28483589682403243,0.14001119236890278,0.8181331798210537,0.14173832999311517,0.0966914474146158,0.3063146018778507,0.3971398018098499
KernelRidge,LUMO,0.15730937316606086,0.03332711330861782,0.2954442831456982,0.1355808618097817,0.8071140046249045,0.13636197896830599,0.0879397381963719,0.3093487622459854,0.45032159037740177
LinearRegression,LUMO,0.17568779279149932,0.028260800867412547,0.2988504460357806,0.12402508063137435,0.8051621461562858,0.12499092727292876,0.10623525752015768,0.3540861393666449,0.4536626353898578
