model,target,energy_target_mode,weight_scheme,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,cv_medae_mean,cv_q90ae_mean,cv_q95ae_mean,n_outer_folds
RandomForest,Final Energy,delta_energy,none,1002.6034546893065,260.8936194258686,1732.504588272956,392.7397686947893,0.8420897795548115,0.10108374802808685,474.1442124236873,2530.9030943245566,4008.8356068187027,15
XGBoost,Final Energy,delta_energy,none,1064.2123721120283,322.66711836933575,1896.617561380615,550.3654659093796,0.805477394958577,0.13903778583625892,472.16297482391917,2617.8565570757714,4625.855405632174,15
KernelRidge,Final Energy,delta_energy,none,1155.2019121170401,257.9699161782112,1821.5064098841503,415.37106858993,0.8212674499915196,0.12774136905313266,669.4573897307164,2756.6079274015065,3653.4885084588245,15
ElasticNet,Final Energy,delta_energy,none,1760.5725586927276,244.29015917183813,2447.46610022071,437.8615014996514,0.6939926825327731,0.17696827716534363,1301.5245976365798,3231.4061533617028,5043.282253319621,15
Ridge,Final Energy,delta_energy,none,1807.5886450224518,265.22084299328833,2479.9018297144894,459.91980587344534,0.6848544643809386,0.18470452017156627,1370.408767883739,3366.892859337139,5173.9383140728405,15
LinearRegression,Final Energy,delta_energy,none,1847.8552825126505,288.08675557826575,2562.3426590044555,471.48342380886345,0.662917466631458,0.19532243058221835,1343.281224126041,3619.673762848325,5720.069270327409,15
RandomForest,delta_energy,delta_energy,none,1002.6034546893065,260.8936194258686,1732.504588272956,392.7397686947892,0.832934614794425,0.10377609316983427,474.1442124236874,2530.9030943245566,4008.8356068187027,15
XGBoost,delta_energy,delta_energy,none,1064.2123721120283,322.6671183693357,1896.617561380615,550.3654659093796,0.7941636374114871,0.1434853533108644,472.16297482391917,2617.8565570757714,4625.855405632174,15
KernelRidge,delta_energy,delta_energy,none,1155.2019121170401,257.96991617821124,1821.5064098841503,415.37106858993013,0.8106592447935548,0.13331661768686603,669.4573897307164,2756.6079274015065,3653.4885084588245,15
ElasticNet,delta_energy,delta_energy,none,1760.5725586927272,244.29015917183818,2447.46610022071,437.8615014996514,0.6762002547658591,0.1800144385851602,1301.5245976365795,3231.4061533617028,5043.282253319621,15
Ridge,delta_energy,delta_energy,none,1807.5886450224518,265.22084299328844,2479.9018297144894,459.91980587344534,0.6665577432146702,0.1879817509774473,1370.408767883739,3366.892859337139,5173.9383140728405,15
LinearRegression,delta_energy,delta_energy,none,1847.8552825126503,288.0867555782658,2562.3426590044555,471.48342380886345,0.6432860278782956,0.19892630483249446,1343.281224126041,3619.673762848325,5720.069270327408,15
