model,target,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,cv_medae_mean,cv_q90ae_mean,cv_q95ae_mean,n_outer_folds
KernelRidge,HOMO,0.12087000817819395,0.023078894401312985,0.19554248784108422,0.07056968060589239,0.7213857139859866,0.16982269563861016,0.07729988944689771,0.25014618211395445,0.3464488776848105,15
RandomForest,HOMO,0.12363492879382948,0.01550240496124105,0.19851998065073892,0.06212091247195997,0.7048494884732182,0.1665246456505903,0.08242425525007804,0.25973960258783585,0.3455902809235744,15
XGBoost,HOMO,0.12743707485694597,0.016746044528773048,0.2066649170428568,0.06551128435904476,0.678662766883974,0.1861259020627478,0.07960654446105944,0.27846847233347594,0.3574168868855287,15
Ridge,HOMO,0.1367099527643593,0.019358847897189266,0.2076970427900428,0.061092781427976965,0.6870021872946773,0.15340870927360534,0.08868002231312486,0.29692426916712467,0.3826000501158656,15
LinearRegression,HOMO,0.13870788991927735,0.02373051427617315,0.21264842529055453,0.06218453448079693,0.676319819360985,0.15056422950860776,0.09410890977339635,0.296218199569331,0.40408970597269217,15
ElasticNet,HOMO,0.1389751854160276,0.020467169160146327,0.21253551612840804,0.05953164139383539,0.6749701264524095,0.14687710458789538,0.0894952011606762,0.3041699746203323,0.4054381792872618,15
RandomForest,LUMO,0.13963497534373637,0.038430571792729275,0.27116526858337786,0.14843061265105964,0.8285503267379136,0.1479508177749959,0.0724105804405526,0.2872824119987009,0.37268301272723964,15
XGBoost,LUMO,0.13980798437841335,0.040152123899649644,0.2730552460281457,0.15155294805755867,0.8268278934435039,0.1496640608437752,0.07553376864420579,0.2720700347371418,0.3554436048649088,15
Ridge,LUMO,0.15549415087537943,0.03549862958243138,0.28254960254368555,0.14144777266882064,0.8200006230856275,0.14248959473222397,0.09397588460469163,0.3072917443947874,0.393173561013394,15
ElasticNet,LUMO,0.15710880643327405,0.036758735205009774,0.28483589682403243,0.14001119236890278,0.8181331798210537,0.14173832999311517,0.0966914474146158,0.3063146018778507,0.3971398018098499,15
KernelRidge,LUMO,0.15730937316606086,0.03332711330861782,0.2954442831456982,0.1355808618097817,0.8071140046249045,0.13636197896830599,0.0879397381963719,0.3093487622459854,0.45032159037740177,15
LinearRegression,LUMO,0.17568779279149932,0.028260800867412547,0.2988504460357806,0.12402508063137435,0.8051621461562858,0.12499092727292876,0.10623525752015768,0.3540861393666449,0.4536626353898578,15
KernelRidge,delta_homo,0.12087000817819393,0.02307889440131295,0.1955424878410842,0.07056968060589233,0.23908114834780095,0.31571437881818076,0.07729988944689764,0.25014618211395445,0.3464488776848106,15
RandomForest,delta_homo,0.12363492879382948,0.015502404961241044,0.1985199806507389,0.062120912471959944,0.21213557417301487,0.2993516958447909,0.08242425525007815,0.2597396025878358,0.3455902809235745,15
XGBoost,delta_homo,0.12743707485694594,0.016746044528773048,0.2066649170428568,0.06551128435904473,0.14309156800173004,0.3309525908912835,0.07960654446105944,0.27846847233347594,0.3574168868855287,15
Ridge,delta_homo,0.1367099527643593,0.01935884789718927,0.20769704279004284,0.061092781427976944,0.15483300233335975,0.23094346284495504,0.08868002231312486,0.2969242691671246,0.3826000501158657,15
LinearRegression,delta_homo,0.13870788991927735,0.02373051427617316,0.21264842529055453,0.062184534480796895,0.10420325344090765,0.2718079861237965,0.09410890977339635,0.29621819956933104,0.4040897059726923,15
ElasticNet,delta_homo,0.13897518541602757,0.020467169160146306,0.21253551612840804,0.05953164139383535,0.11316293098351332,0.22763289072927193,0.08949520116067614,0.30416997462033224,0.4054381792872617,15
RandomForest,delta_lumo,0.1396349753437364,0.03843057179272928,0.2711652685833779,0.1484306126510596,0.28247535459572826,0.17712422383716186,0.07241058044055257,0.287282411998701,0.3726830127272395,15
XGBoost,delta_lumo,0.13980798437841338,0.04015212389964966,0.2730552460281457,0.15155294805755867,0.27304778486039905,0.2080554178160528,0.07553376864420577,0.272070034737142,0.35544360486490884,15
Ridge,delta_lumo,0.15549415087537946,0.03549862958243137,0.2825496025436856,0.1414477726688206,0.18859243142034357,0.13986474070691698,0.09397588460469156,0.3072917443947873,0.39317356101339407,15
ElasticNet,delta_lumo,0.15710880643327407,0.03675873520500975,0.2848358968240325,0.14001119236890275,0.16854536276700843,0.13218632093137617,0.09669144741461583,0.30631460187785076,0.3971398018098499,15
KernelRidge,delta_lumo,0.1573093731660609,0.03332711330861781,0.2954442831456982,0.13558086180978168,0.05119503090348723,0.33433225785420484,0.08793973819637199,0.30934876224598545,0.4503215903774017,15
LinearRegression,delta_lumo,0.17568779279149938,0.028260800867412547,0.2988504460357806,0.12402508063137432,0.01796395878685556,0.25069908081381326,0.10623525752015771,0.354086139366645,0.4536626353898578,15
